일,라면,zoom,코로나,BTS
2019-08-23,0,0,0,2
2019-08-24,0,0,0,2
2019-08-25,0,0,0,7
2019-08-26,0,0,0,2
2019-08-27,0,0,0,5
2019-08-28,0,0,0,2
2019-08-29,0,0,0,2
2019-08-30,0,0,0,2
2019-08-31,0,0,0,2
2019-09-01,0,0,0,6
2019-09-02,0,0,0,2
2019-09-03,0,0,0,2
2019-09-04,0,0,0,2
2019-09-05,0,0,0,2
2019-09-06,0,0,0,2
2019-09-07,0,0,0,2
2019-09-08,0,0,3,2
2019-09-09,0,0,0,2
2019-09-10,0,0,0,8
2019-09-11,0,0,0,5
2019-09-12,0,0,0,16
2019-09-13,0,0,0,9
2019-09-14,0,0,0,3
2019-09-15,0,0,0,3
2019-09-16,0,0,0,3
2019-09-17,0,0,0,3
2019-09-18,0,0,0,3
2019-09-19,0,0,0,2
2019-09-20,0,0,0,2
2019-09-21,0,0,0,2
2019-09-22,0,0,0,2
2019-09-23,0,0,0,2
2019-09-24,0,0,0,2
2019-09-25,0,0,0,2
2019-09-26,0,0,0,2
2019-09-27,0,0,0,3
2019-09-28,0,0,0,7
2019-09-29,0,0,0,3
2019-09-30,0,0,0,2
2019-10-01,0,0,0,2
2019-10-02,0,0,0,2
2019-10-03,0,0,0,2
2019-10-04,0,0,0,3
2019-10-05,0,0,0,2
2019-10-06,0,0,0,1
2019-10-07,0,0,0,2
2019-10-08,0,0,0,2
2019-10-09,0,0,0,3
2019-10-10,0,0,0,5
2019-10-11,0,0,0,9
2019-10-12,0,0,0,9
2019-10-13,0,0,0,8
2019-10-14,0,0,0,4
2019-10-15,0,0,0,2
2019-10-16,0,0,0,2
2019-10-17,0,0,0,2
2019-10-18,0,0,0,3
2019-10-19,0,0,0,2
2019-10-20,0,0,0,3
2019-10-21,0,0,0,2
2019-10-22,0,0,0,2
2019-10-23,0,0,0,2
2019-10-24,0,0,0,2
2019-10-25,0,0,0,3
2019-10-26,0,0,0,5
2019-10-27,0,0,0,13
2019-10-28,0,0,0,4
2019-10-29,0,0,0,5
2019-10-30,0,0,0,3
2019-10-31,0,0,0,2
2019-11-01,0,0,0,2
2019-11-02,0,0,0,2
2019-11-03,0,0,0,2
2019-11-04,0,0,0,3
2019-11-05,0,0,0,2
2019-11-06,0,0,0,2
2019-11-07,0,0,0,2
2019-11-08,0,0,0,2
2019-11-09,0,0,0,2
2019-11-10,0,0,0,2
2019-11-11,0,0,0,2
2019-11-12,0,0,0,5
2019-11-13,0,0,0,4
2019-11-14,0,0,0,2
2019-11-15,0,0,0,2
2019-11-16,0,0,0,4
2019-11-17,0,0,0,2
2019-11-18,0,0,0,3
2019-11-19,0,0,0,2
2019-11-20,0,0,0,3
2019-11-21,0,0,0,10
2019-11-22,0,0,0,4
2019-11-23,0,0,0,3
2019-11-24,0,0,0,2
2019-11-25,0,0,0,5
2019-11-26,0,0,0,7
2019-11-27,0,0,0,2
2019-11-28,0,0,0,2
2019-11-29,0,0,0,2
2019-11-30,0,0,0,3
2019-12-01,0,0,0,8
2019-12-02,0,0,0,3
2019-12-03,0,0,0,8
2019-12-04,0,0,0,4
2019-12-05,0,0,0,5
2019-12-06,0,0,0,3
2019-12-07,0,0,0,5
2019-12-08,0,0,0,6
2019-12-09,0,0,0,11
2019-12-10,0,0,0,61
2019-12-11,0,0,0,3
2019-12-12,0,0,0,3
2019-12-13,0,0,0,2
2019-12-14,0,0,0,2
2019-12-15,0,0,0,2
2019-12-16,0,0,0,2
2019-12-17,0,0,0,2
2019-12-18,0,0,0,2
2019-12-19,0,0,0,2
2019-12-20,0,0,0,2
2019-12-21,0,0,0,2
2019-12-22,0,0,0,2
2019-12-23,0,0,0,3
2019-12-24,0,0,0,2
2019-12-25,0,0,0,4
2019-12-26,0,0,0,3
2019-12-27,0,0,0,5
2019-12-28,0,0,0,10
2019-12-29,0,0,0,4
2019-12-30,0,0,0,7
2019-12-31,0,0,0,7
2020-01-01,0,0,0,100
2020-01-02,0,0,0,15
2020-01-03,0,0,0,3
2020-01-04,0,0,0,3
2020-01-05,0,0,0,3
2020-01-06,0,0,0,3
2020-01-07,0,0,0,3
2020-01-08,0,0,0,3
2020-01-09,0,0,0,3
2020-01-10,0,0,0,3
2020-01-11,0,0,0,2
2020-01-12,0,0,0,2
2020-01-13,0,0,0,2
2020-01-14,0,0,0,2
2020-01-15,0,0,0,3
2020-01-16,0,0,0,5
2020-01-17,0,0,0,6
2020-01-18,0,0,0,13
2020-01-19,0,0,0,3
2020-01-20,0,0,0,3
2020-01-21,0,0,1,3
2020-01-22,0,0,1,3
2020-01-23,0,0,2,7
2020-01-24,0,0,8,4
2020-01-25,0,0,9,3
2020-01-26,0,0,5,4
2020-01-27,0,0,4,46
2020-01-28,0,0,9,5
2020-01-29,0,0,10,8
2020-01-30,0,0,9,7
2020-01-31,0,0,12,3
2020-02-01,0,0,7,4
2020-02-02,0,0,10,2
2020-02-03,0,0,13,3
2020-02-04,0,0,12,2
2020-02-05,0,0,11,2
2020-02-06,0,0,13,2
2020-02-07,0,0,15,2
2020-02-08,0,0,7,2
2020-02-09,0,0,6,2
2020-02-10,0,0,9,3
2020-02-11,0,0,8,4
2020-02-12,0,0,9,3
2020-02-13,0,0,14,3
2020-02-14,0,0,11,5
2020-02-15,0,0,8,2
2020-02-16,0,0,7,2
2020-02-17,0,0,10,4
2020-02-18,0,0,15,5
2020-02-19,0,0,30,3
2020-02-20,0,0,51,5
2020-02-21,1,0,51,10
2020-02-22,1,0,48,10
2020-02-23,1,0,50,7
2020-02-24,2,0,69,7
2020-02-25,2,1,64,7
2020-02-26,1,1,47,6
2020-02-27,1,1,49,5
2020-02-28,1,1,44,6
2020-02-29,1,0,30,4
2020-03-01,1,1,26,4
2020-03-02,1,1,46,5
2020-03-03,0,1,43,4
2020-03-04,1,1,44,4
2020-03-05,0,1,40,4
2020-03-06,0,1,38,3
2020-03-07,0,1,24,3
2020-03-08,0,1,23,3
2020-03-09,0,2,41,3
2020-03-10,1,2,38,3
2020-03-11,1,1,38,2
2020-03-12,0,1,37,2
2020-03-13,0,1,36,2
2020-03-14,0,1,25,2
2020-03-15,0,1,22,2
2020-03-16,0,2,35,2
2020-03-17,0,3,35,2
2020-03-18,0,2,30,2
2020-03-19,0,2,34,2
2020-03-20,0,2,33,2
2020-03-21,0,1,24,2
2020-03-22,0,1,23,2
2020-03-23,0,3,30,2
2020-03-24,0,3,32,2
2020-03-25,0,3,30,2
2020-03-26,0,3,30,1
2020-03-27,0,4,29,2
2020-03-28,0,3,20,1
2020-03-29,0,2,19,1
2020-03-30,0,6,27,2
2020-03-31,0,8,27,2
2020-04-01,0,11,25,2
2020-04-02,0,12,25,1
2020-04-03,0,11,23,1
2020-04-04,0,4,17,1
2020-04-05,0,5,17,1
2020-04-06,1,15,23,1
2020-04-07,2,13,23,1
2020-04-08,2,12,23,1
2020-04-09,2,12,24,1
2020-04-10,3,9,28,2
2020-04-11,2,3,20,1
2020-04-12,3,4,16,1
2020-04-13,6,11,23,2
2020-04-14,6,9,22,2
2020-04-15,5,5,21,1
2020-04-16,8,12,48,2
2020-04-17,6,8,26,2
2020-04-18,3,2,15,2
2020-04-19,3,2,16,2
2020-04-20,5,8,22,2
2020-04-21,5,7,21,1
2020-04-22,5,7,19,2
2020-04-23,5,7,20,2
2020-04-24,5,5,19,2
2020-04-25,2,1,14,1
2020-04-26,2,1,12,1
2020-04-27,5,6,18,2
2020-04-28,5,6,16,2
2020-04-29,4,5,17,2
2020-04-30,2,1,13,2
2020-05-01,3,3,14,2
2020-05-02,2,1,14,1
2020-05-03,2,1,15,2
2020-05-04,4,4,16,2
2020-05-05,3,1,11,2
2020-05-06,4,4,14,2
2020-05-07,4,4,17,2
2020-05-08,0,4,24,2
2020-05-09,0,1,20,1
2020-05-10,0,1,18,1
2020-05-11,0,5,27,1
2020-05-12,0,4,20,1
2020-05-13,0,5,21,1
2020-05-14,0,5,21,2
2020-05-15,0,4,16,2
2020-05-16,0,1,12,1
2020-05-17,0,1,9,1
2020-05-18,0,5,14,3
2020-05-19,0,5,14,2
2020-05-20,0,4,14,2
2020-05-21,0,4,14,2
2020-05-22,0,4,13,2
2020-05-23,0,1,9,2
2020-05-24,0,1,9,2
2020-05-25,0,4,13,2
2020-05-26,0,4,13,2
2020-05-27,0,3,16,2
2020-05-28,0,4,20,2
2020-05-29,0,3,21,2
2020-05-30,0,1,11,1
2020-05-31,0,1,10,1
2020-06-01,0,4,15,2
2020-06-02,0,3,14,2
2020-06-03,0,3,14,2
2020-06-04,0,3,14,2
2020-06-05,0,3,13,2
2020-06-06,0,1,10,1
2020-06-07,0,1,9,2
2020-06-08,0,2,14,2
2020-06-09,0,2,14,2
2020-06-10,0,2,14,2
2020-06-11,0,3,12,2
2020-06-12,0,2,14,2
2020-06-13,0,1,9,2
2020-06-14,0,1,8,2
2020-06-15,0,3,13,3
2020-06-16,0,3,11,2
2020-06-17,0,3,12,2
2020-06-18,0,3,12,1
2020-06-19,0,2,11,2
2020-06-20,0,1,10,2
2020-06-21,0,1,10,1
2020-06-22,0,2,13,2
2020-06-23,0,2,13,2
2020-06-24,0,2,12,2
2020-06-25,0,2,11,1
2020-06-26,0,2,10,1
2020-06-27,0,1,8,1
2020-06-28,0,1,9,1
2020-06-29,0,2,13,2
2020-06-30,0,2,11,2
2020-07-01,0,2,11,1
2020-07-02,0,2,13,2
2020-07-03,0,2,13,2
2020-07-04,0,1,10,1
2020-07-05,0,1,9,1
2020-07-06,0,2,14,2
2020-07-07,0,2,11,2
2020-07-08,0,2,13,2
2020-07-09,0,2,11,2
2020-07-10,0,2,9,1
2020-07-11,0,1,8,1
2020-07-12,0,1,8,1
2020-07-13,0,2,10,1
2020-07-14,0,2,11,1
2020-07-15,0,3,11,2
2020-07-16,0,3,11,2
2020-07-17,0,2,10,2
2020-07-18,0,1,8,1
2020-07-19,0,1,7,1
2020-07-20,0,2,12,1
2020-07-21,0,2,11,1
2020-07-22,0,3,10,1
2020-07-23,0,2,10,1
2020-07-24,0,2,10,1
2020-07-25,0,1,8,1
2020-07-26,0,1,8,1
2020-07-27,0,2,10,2
2020-07-28,0,2,8,1
2020-07-29,0,2,9,2
2020-07-30,0,2,10,1
2020-07-31,0,2,10,1
2020-08-01,0,1,8,1
2020-08-02,0,1,7,1
2020-08-03,0,2,9,1
2020-08-04,0,2,9,2
2020-08-05,0,2,9,2
2020-08-06,0,2,8,1
2020-08-07,0,2,8,1
2020-08-08,0,1,7,1
2020-08-09,0,1,6,1
2020-08-10,0,2,9,1
2020-08-11,0,2,9,2
2020-08-12,0,2,9,2
2020-08-13,0,2,10,2
2020-08-14,0,2,19,2
2020-08-15,0,1,17,2
2020-08-16,0,1,25,1
2020-08-17,0,1,23,1
2020-08-18,0,3,34,2
2020-08-19,0,4,33,3
2020-08-20,0,4,33,3
2020-08-21,0,4,30,7
2020-08-22,0,2,21,8
2020-08-23,0,2,21,5
